No errors
No warnings
512 ms
data source=metars
4668 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
CYRQ 280722Z AUTO 07016G26KT 4SM -RA -UP BR OVC010 00/M00 A2985 RMK SLP112,CYRQ,2018-10-28T07:22:00Z,46.35,-72.68,0.0,0.0,70,16,26,4.0,29.84941,1011.2,,TRUE,,,,,,,-RA BR UP,OVC,1000,,,,,,,MVFR,,,,,,,,,,,,SPECI,61.0
EKYT 280722Z 01004KT 9999 -SHRASN SCT032 BKN065 02/01 Q1023 R08L/520195,EKYT,2018-10-28T07:22:00Z,57.1,9.87,2.0,1.0,10,4,,6.21,30.206694,,,,,,,,,,-SHRA -SHSN,SCT,3200,BKN,6500,,,,,VFR,,,,,,,,,,,,METAR,3.0
KKLS 280722Z AUTO 06003KT 9SM RA FEW004 SCT013 OVC070 15/14 A2980 RMK AO2 P0004,KKLS,2018-10-28T07:22:00Z,46.12,-122.9,15.0,14.0,60,3,,9.0,29.799213,,,TRUE,TRUE,,,,,,RA,FEW,400,SCT,1300,OVC,7000,,,VFR,,,,,,0.04,,,,,,SPECI,5.0
PAKP 280722Z AUTO 02006KT 3SM -SN BR OVC028 M11/M12 A2959 RMK AO2 P0000 FZRANO,PAKP,2018-10-28T07:22:00Z,68.13,-151.73,-11.0,-12.0,20,6,,3.0,29.589567,,,TRUE,TRUE,,,,TRUE,,-SN BR,OVC,2800,,,,,,,MVFR,,,,,,0.005,,,,,,SPECI,642.0
PAHP 280722Z AUTO 34014KT 10SM FEW013 SCT021 OVC055 M01/M03 A3005 RMK AO2 SNE13 P0000 FZRANO,PAHP,2018-10-28T07:22:00Z,61.52,-166.15,-1.0,-3.0,340,14,,10.0,30.050198,,,TRUE,TRUE,,,,TRUE,,,FEW,1300,SCT,2100,OVC,5500,,,VFR,,,,,,0.005,,,,,,SPECI,5.0
KSRC 280721Z AUTO 00000KT 2 1/2SM BR FEW002 08/ A3001 RMK AO2,KSRC,2018-10-28T07:21:00Z,35.22,-91.73,8.0,,0,0,,2.5,30.008858,,,TRUE,TRUE,,,,,,BR,FEW,200,,,,,,,IFR,,,,,,,,,,,,SPECI,80.0
KLPC 280721Z AUTO 09003KT 1SM BR OVC003 14/13 A3001 RMK AO2,KLPC,2018-10-28T07:21:00Z,34.67,-120.47,14.0,13.0,90,3,,1.0,30.008858,,,TRUE,TRUE,,,,,,BR,OVC,300,,,,,,,LIFR,,,,,,,,,,,,SPECI,27.0
KAWO 280721Z AUTO 18009G20KT 10SM -RA OVC022 12/11 A2974 RMK AO2 WSHFT 0701 P0000,KAWO,2018-10-28T07:21:00Z,48.17,-122.17,12.0,11.0,180,9,20,10.0,29.740158,,,TRUE,TRUE,,,,,,-RA,OVC,2200,,,,,,,MVFR,,,,,,0.005,,,,,,SPECI,42.0
PAPO 280721Z AUTO 31013KT 7SM -SN SCT020 BKN028 OVC048 M02/M05 A2995 RMK AO2 P0000 FZRANO,PAPO,2018-10-28T07:21:00Z,68.35,-166.8,-2.0,-5.0,310,13,,7.0,29.949802,,,TRUE,TRUE,,,,TRUE,,-SN,SCT,2000,BKN,2800,OVC,4800,,,MVFR,,,,,,0.005,,,,,,SPECI,6.0
CYYW 280721Z AUTO 15005KT 9SM OVC008 04/04 A2981 RMK SLP107,CYYW,2018-10-28T07:21:00Z,50.3,-88.9,4.0,4.0,150,5,,9.0,29.811024,1010.7,,TRUE,,,,,,,,OVC,800,,,,,,,IFR,,,,,,,,,,,,SPECI,351.0
KBGM 280721Z AUTO 29005KT 3/4SM BR VV003 02/02 A2963 RMK AO2 T00220022,KBGM,2018-10-28T07:21:00Z,42.22,-75.98,2.2,2.2,290,5,,0.75,29.630905,,,TRUE,TRUE,,,,,,BR,OVX,0,,,,,,,LIFR,,,,,,,,,,,300,SPECI,490.0
KGRB 280721Z AUTO 14004KT 7SM BKN025 OVC055 07/05 A2977 RMK AO2 T00670050,KGRB,2018-10-28T07:21:00Z,44.48,-88.13,6.7,5.0,140,4,,7.0,29.769686,,,TRUE,TRUE,,,,,,,BKN,2500,OVC,5500,,,,,MVFR,,,,,,,,,,,,SPECI,208.0
KEPH 280721Z AUTO 35011KT 7SM RA BKN023 BKN028 OVC035 09/08 A2987 RMK AO2 P0003 T00940083,KEPH,2018-10-28T07:21:00Z,47.3,-119.52,9.4,8.3,350,11,,7.0,29.870079,,,TRUE,TRUE,,,,,,RA,BKN,2300,BKN,2800,OVC,3500,,,MVFR,,,,,,0.03,,,,,,SPECI,383.0
KHSP 280721Z AUTO 28019G24KT 10SM OVC004 03/03 A2976 RMK AO2,KHSP,2018-10-28T07:21:00Z,37.95,-79.82,3.0,3.0,280,19,24,10.0,29.760826,,,TRUE,TRUE,,,,,,,OVC,400,,,,,,,LIFR,,,,,,,,,,,,METAR,1156.0
KMPO 280721Z AUTO 27006KT 5SM BR BKN003 BKN009 OVC015 03/03 A2964 RMK AO2 P0001 T00280028 $,KMPO,2018-10-28T07:21:00Z,41.13,-75.38,2.8,2.8,270,6,,5.0,29.639763,,,TRUE,TRUE,TRUE,,,,,BR,BKN,300,BKN,900,OVC,1500,,,LIFR,,,,,,0.01,,,,,,SPECI,577.0
